Ticker,Name (Click to Read Analysis),Rating,Price at Time of Rating,Stock Price,Fair Value Price,Percent Fair Value,Dividend Yield,Valuation Return,Growth Return,Expected Total Return,Dividend Risk Score,P/E Ratio,Forward EPS Estimate (or Similar Metric),Annual Dividend Payments,Payout Ratio,Years of Dividend Growth,Dividend Growth Rate,Ex-Dividend Date,Security Type,International,Sector,Market Cap (millions),Last Report Upload,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJT,San Juan Basin Royalty Trust,Sell,$6.80,$5.84,$1.00,584.0%,1.9%,-29.7%,25.0%,-6.4%,A,53.1,$0.11,$0.11,100.0%,0,25.3%,,Stock,No,Energy,$0,2025-05-29,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVL,Permianville Royalty Trust,Sell,$1.65,$1.85,$0.20,925.0%,1.1%,-35.9%,25.0%,-15.2%,A,92.5,$0.02,$0.02,100.0%,0,24.6%,,Stock,No,Energy,$0,2025-05-28,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNGDF,Dynacor Group Inc.,Hold,$3.44,$3.66,$4.40,83.2%,4.4%,3.8%,8.0%,15.3%,C,9.2,$0.40,$0.16,40.0%,7,7.5%,,Stock,Yes,Materials,,2025-07-14,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBT,Permian Basin Royalty Trust,Sell,$11.00,$15.55,$3.00,518.3%,1.5%,-28.0%,15.0%,-12.9%,C,67.6,$0.23,$0.23,100.0%,0,14.9%,2025-07-31,Stock,No,Energy,$0,2025-05-28,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAL,Grupo Aval Acciones y Valores S.A.,Hold,$2.74,$2.95,$3.00,98.3%,4.7%,0.3%,7.0%,11.2%,D,9.8,$0.30,$0.14,46.7%,1,5.2%,2025-07-31,Stock,Yes,Financials,,2025-05-22,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSR,Whitestone REIT,Hold,$12.39,$12.06,$12.60,95.7%,4.5%,0.9%,6.0%,10.7%,D,11.5,$1.05,$0.54,51.4%,3,5.9%,2025-08-01,REIT,No,Real Estate,$617,2025-07-31,Kay Ng,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,Realty Income Corp.,Hold,$57.00,$57.10,$59.00,96.8%,5.7%,0.7%,4.0%,9.5%,D,13.5,$4.24,$3.23,76.2%,28,3.7%,2025-08-01,REIT,No,Real Estate,"$52,198",2025-05-19,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,Agree Realty Corp.,Hold,$72.00,$73.87,$77.00,95.9%,4.2%,0.8%,4.0%,8.5%,D,17.2,$4.29,$3.08,71.8%,13,4.0%,2025-07-31,REIT,No,Real Estate,"$8,175",2025-05-15,Felix Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRP.UN,Granite Real Estate Investment Trust,Hold,$49.00,$54.89,$56.00,98.0%,4.5%,0.4%,3.0%,7.4%,D,13.2,$4.17,$2.47,59.2%,14,3.0%,,REIT,Yes,Real Estate,,2025-05-25,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHCUF,Flagship Communities Real Estate Investment Trust,Hold,$17.49,$17.60,$16.90,104.1%,3.5%,-0.8%,4.0%,6.4%,D,13.5,$1.30,$0.62,47.7%,4,3.9%,,REIT,No,Real Estate,,2025-05-14,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPKIF,Richards Packaging Income Fund,Sell,$20.96,$23.92,$16.87,141.8%,4.0%,-6.7%,3.0%,0.7%,D,9.9,$2.41,$0.95,39.4%,0,3.0%,,Stock,Yes,Consumer Discretionary,,2025-05-22,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRMRF,Paramount Resources Ltd.,Sell,$13.37,$14.78,$6.60,223.9%,2.9%,-14.9%,8.0%,-3.4%,D,24.6,$0.60,$0.43,71.7%,0,7.9%,,Stock,Yes,Energy,$0,2025-05-16,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISXF,Savaria Corporation,Hold,$13.62,$15.36,$8.40,182.9%,2.5%,-11.4%,4.0%,-4.2%,D,21.9,$0.70,$0.39,55.7%,12,3.8%,,Stock,Yes,Industrials,$0,2025-05-16,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARN,Ellington Credit Co.,Sell,$5.75,$5.63,$6.86,82.1%,17.1%,4.0%,6.0%,20.0%,F,5.7,$0.98,$0.96,98.0%,0,0.0%,2025-03-31,REIT,No,Real Estate,$211,2025-06-25,Quinn Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRZN,Horizon Technology Finance Corp,Sell,$7.47,$7.23,$9.24,78.2%,18.3%,5.0%,0.0%,17.0%,F,5.5,$1.32,$1.32,100.0%,0,0.0%,2025-08-18,BDC,No,Financials,$315,2025-05-26,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITUB,Itau Unibanco Holding S.A.,Hold,$7.00,$6.79,$8.00,84.9%,7.4%,3.3%,5.0%,13.8%,F,9.1,$0.75,$0.50,66.7%,4,3.0%,,Stock,Yes,Financials,"$66,771",2025-06-05,Felix Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARR,ARMOUR Residential REIT Inc,Sell,$16.30,$15.82,$15.90,99.5%,18.2%,0.1%,-1.2%,13.2%,F,5.0,$3.18,$2.88,90.6%,0,0.0%,2025-08-15,REIT,No,Real Estate,"$1,449",2025-08-07,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORC,Orchid Island Capital Inc,Sell,$6.96,$7.07,$6.49,108.9%,20.4%,-1.7%,-3.6%,12.8%,F,11.8,$0.60,$1.44,240.0%,0,1.5%,2025-07-31,REIT,No,Real Estate,$892,2025-08-04,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEC,Prospect Capital Corp,Sell,$3.69,$2.76,$4.32,63.9%,19.6%,9.4%,-8.0%,12.5%,F,5.1,$0.54,$0.54,100.0%,0,-7.8%,2025-08-27,BDC,No,Financials,"$1,246",2025-05-17,Josh Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,PermRock Royalty Trust,Sell,$4.02,$4.05,$3.60,112.5%,11.1%,-2.3%,5.0%,12.2%,F,9.0,$0.45,$0.45,100.0%,0,4.8%,,Stock,No,Energy,$0,2025-07-09,Quinn Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFC,Ellington Financial Inc.,Sell,$13.36,$12.84,$13.86,92.6%,12.1%,1.5%,1.0%,11.1%,F,7.9,$1.63,$1.56,95.7%,0,-3.0%,2025-07-31,Stock,No,Financials,"$1,197",2025-05-16,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAG,STAG Industrial Inc,Hold,$33.00,$35.00,$40.00,87.5%,4.3%,2.7%,5.0%,10.9%,F,14.1,$2.48,$1.49,60.1%,14,0.7%,2025-07-31,REIT,No,Real Estate,"$6,510",2025-05-07,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSRTF,BSR Real Estate Investment Trust,Hold,$13.19,$12.23,$14.11,86.7%,4.6%,2.9%,4.0%,10.7%,F,14.7,$0.83,$0.56,67.5%,3,4.0%,,REIT,Yes,Real Estate,,2025-05-17,Kody Kester,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX,"Dynex Capital, Inc.",Hold,$12.40,$12.36,$8.20,150.7%,16.5%,-7.9%,7.8%,10.6%,F,12.0,$1.03,$2.04,198.1%,2,-6.0%,2025-07-23,REIT,No,Real Estate,"$1,602",2025-08-07,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOD,Gladstone Commercial Corp,Sell,$14.00,$13.03,$14.00,93.1%,9.2%,1.4%,2.0%,10.5%,F,9.3,$1.40,$1.20,85.7%,0,0.0%,2025-08-20,REIT,No,Real Estate,$607,2025-05-28,Josh Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLT,PennantPark Floating Rate Capital Ltd,Hold,$10.20,$10.41,$10.50,99.1%,11.8%,0.2%,0.8%,10.4%,F,8.6,$1.21,$1.23,101.7%,2,0.0%,2025-07-15,BDC,No,Financials,"$1,032",2025-05-30,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLFF,Cardinal Energy Ltd.,Sell,$4.92,$5.13,$4.50,114.0%,10.3%,-2.6%,5.0%,10.3%,F,10.3,$0.50,$0.53,106.0%,0,0.0%,,Stock,Yes,Energy,,2025-07-09,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGNC,AGNC Investment Corp,Sell,$9.40,$9.48,$7.90,120.0%,15.2%,-3.6%,0.9%,10.3%,F,6.0,$1.58,$1.44,91.1%,0,0.0%,2025-07-31,REIT,No,Real Estate,"$9,803",2025-08-07,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLE,"Apple Hospitality REIT, Inc.",Sell,$11.67,$11.88,$13.68,86.8%,8.1%,2.9%,1.0%,10.2%,F,7.5,$1.58,$0.96,60.8%,0,1.0%,2025-07-31,REIT,No,Real Estate,"$2,787",2025-05-05,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLLGF,Mullen Group Ltd.,Hold,$9.70,$9.07,$9.60,94.5%,6.7%,1.1%,3.0%,9.8%,F,11.3,$0.80,$0.61,76.3%,4,3.1%,,Stock,Yes,Industrials,,2025-07-25,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPOOF,InPlay Oil Corp.,Sell,$6.82,$7.89,$6.75,116.9%,10.0%,-3.1%,5.0%,9.8%,F,10.5,$0.75,$0.79,105.3%,0,0.0%,,Stock,Yes,Energy,$0,2025-07-09,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRETF,Dream Office Real Estate Investment Trust,Sell,$10.92,$12.50,$16.00,78.1%,5.7%,5.1%,0.0%,9.7%,F,6.3,$2.00,$0.71,35.5%,0,2.9%,,REIT,Yes,Real Estate,,2025-05-16,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPR,EPR Properties,Hold,$56.00,$54.21,$61.00,88.9%,6.5%,2.4%,2.0%,9.6%,F,10.7,$5.05,$3.54,70.1%,4,1.0%,2025-07-31,REIT,No,Real Estate,"$4,121",2025-05-31,Josh Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC,"LTC Properties, Inc.",Sell,$35.00,$35.15,$39.00,90.1%,6.5%,2.1%,2.0%,9.2%,F,13.2,$2.67,$2.28,85.4%,0,0.0%,2025-08-21,REIT,No,Real Estate,"$1,627",2025-05-16,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOCF,RioCan Real Estate Investment Trust,Hold,$12.30,$12.91,$15.08,85.6%,6.3%,3.2%,0.0%,8.2%,F,11.1,$1.16,$0.81,69.8%,4,0.0%,,REIT,Yes,Real Estate,,2025-05-10,Kody Kester,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRHLF,Freehold Royalties Ltd.,Sell,$8.83,$9.54,$9.80,97.3%,7.9%,0.5%,1.0%,8.1%,F,13.6,$0.70,$0.75,107.1%,0,0.0%,,Stock,Yes,Energy,,2025-05-18,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPYF,Canadian Apartment Properties Real Estate Investment Trust,Hold,$30.00,$31.37,$34.00,92.3%,3.5%,1.6%,3.5%,8.0%,F,16.9,$1.86,$1.11,59.7%,2,1.6%,,REIT,Yes,Real Estate,,2025-05-11,Kody Kester,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRRTF,Slate Grocery REIT,Sell,$10.67,$10.24,$9.90,103.4%,8.4%,-0.7%,1.0%,7.7%,F,9.3,$1.10,$0.86,78.2%,0,0.9%,,REIT,Yes,Real Estate,,2025-05-16,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRT,Cross Timbers Royalty Trust,Sell,$9.50,$8.73,$7.40,118.0%,9.4%,-3.3%,2.0%,7.5%,F,10.6,$0.82,$0.82,100.0%,0,2.1%,2022-09-29,Stock,No,Energy,$0,2025-07-28,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRRF,CT Real Estate Investment Trust,Hold,$11.02,$11.50,$11.83,97.2%,5.9%,0.6%,1.5%,7.2%,F,12.6,$0.91,$0.68,74.7%,12,1.4%,,REIT,Yes,Real Estate,,2025-05-11,Kody Kester,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAND,Gladstone Land Corp,Hold,$9.86,$9.21,$9.87,93.3%,6.1%,1.4%,1.0%,7.0%,F,19.6,$0.47,$0.56,119.1%,10,-3.0%,2025-08-20,REIT,No,Real Estate,$331,2025-05-31,Josh Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLG,SL Green Realty Corp.,Hold,$53.00,$55.00,$58.00,94.8%,5.6%,1.1%,1.0%,6.9%,F,10.2,$5.40,$3.09,57.2%,1,1.0%,2025-07-31,REIT,No,Real Estate,"$3,883",2025-04-23,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRZF,SIR Royalty Income Fund,Sell,$9.90,$10.94,$9.80,111.6%,7.7%,-2.2%,2.0%,6.9%,F,11.2,$0.98,$0.84,85.7%,0,2.1%,,Stock,Yes,Consumer Discretionary,,2025-07-05,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMREF,Primaris Real Estate Investment Trust,Hold,$10.25,$11.00,$11.34,97.0%,5.7%,0.6%,1.0%,6.6%,F,8.7,$1.26,$0.63,50.0%,3,0.9%,,Stock,Yes,Real Estate,,2025-05-07,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREUF,Bridgemarq Real Estate Services Inc.,Sell,$10.76,$10.91,$10.00,109.1%,8.9%,-1.7%,0.0%,6.4%,F,10.9,$1.00,$0.97,97.0%,0,0.0%,,REIT,Yes,Real Estate,,2025-05-16,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXSQ,Oxford Square Capital Corp.,Sell,$2.51,$2.32,$1.60,145.0%,18.1%,-7.2%,0.0%,6.3%,F,7.3,$0.32,$0.42,131.3%,0,-9.9%,2025-08-15,Stock,No,Financials,$162,2025-05-05,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Modiv Industrial Inc,Hold,$14.62,$14.50,$13.80,105.1%,8.1%,-1.0%,0.0%,6.3%,F,10.5,$1.38,$1.17,84.8%,1,0.0%,2025-07-31,REIT,No,Real Estate,$147,2025-05-12,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWYUF,SmartCentres Real Estate Investment Trust,Sell,$18.24,$18.63,$18.33,101.6%,7.1%,-0.3%,0.0%,6.0%,F,13.2,$1.41,$1.32,93.6%,0,0.0%,,REIT,Yes,Real Estate,,2025-05-12,Kody Kester,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIN,Gladstone Investment Corporation,Sell,$14.00,$14.03,$12.00,116.9%,6.8%,-3.1%,3.0%,5.9%,F,15.6,$0.90,$0.96,106.7%,0,0.0%,2025-08-20,BDC,No,Financials,$515,2025-06-11,Jonathan Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMIVF,Atrium Mortgage Investment Corporation,Hold,$7.93,$8.49,$7.81,108.7%,7.9%,-1.7%,0.0%,5.6%,F,12.0,$0.71,$0.67,94.4%,0,0.0%,,Stock,Yes,Financials,,2025-05-23,Kody Kester,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRMUF,Firm Capital Property Trust,Sell,$4.27,$4.36,$3.80,114.7%,8.7%,-2.7%,0.0%,5.5%,F,11.5,$0.38,$0.38,100.0%,0,0.0%,,REIT,Yes,Real Estate,,2025-07-03,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECO,Phillips Edison & Company Inc,Hold,$35.00,$33.63,$30.00,112.1%,3.7%,-2.3%,3.0%,4.5%,F,13.3,$2.52,$1.23,48.8%,4,5.0%,2025-08-15,REIT,No,Real Estate,"$4,224",2025-07-25,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPZZF,Boston Pizza Royalties Income Fund,Hold,$13.45,$14.20,$10.45,135.9%,7.0%,-5.9%,3.0%,4.3%,F,14.9,$0.95,$0.99,104.2%,5,3.0%,,Stock,Yes,Consumer Discretionary,,2025-05-14,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGIFF,Chemtrade Logistics Income Fund,Hold,$7.72,$8.12,$7.50,108.3%,5.3%,-1.6%,0.0%,4.2%,F,5.4,$1.50,$0.43,28.7%,1,5.0%,,Stock,Yes,Materials,,2025-05-15,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEYUF,Peyto Exploration & Development Corp.,Sell,$13.60,$13.98,$9.60,145.6%,6.9%,-7.2%,5.0%,4.1%,F,14.6,$0.96,$0.96,100.0%,0,0.0%,,Stock,Yes,Energy,$0,2025-05-23,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREUF,Dream Industrial Real Estate Investment Trust,Sell,$7.51,$8.80,$7.70,114.3%,5.7%,-2.6%,1.0%,4.0%,F,12.6,$0.70,$0.50,71.4%,0,1.2%,,REIT,Yes,Real Estate,,2025-05-15,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCM,Stellus Capital Investment Corp,Sell,$13.14,$14.31,$11.48,124.7%,11.2%,-4.3%,-2.0%,3.8%,F,10.6,$1.35,$1.60,118.5%,0,-5.0%,2025-07-31,BDC,No,Financials,$405,2025-06-04,Josh Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIFF,Northland Power Inc.,Sell,$15.03,$16.23,$13.50,120.2%,5.3%,-3.6%,2.0%,3.7%,F,15.0,$1.08,$0.86,79.6%,0,2.0%,,Stock,Yes,Utilities,,2025-05-18,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWHUF,NorthWest Healthcare Properties Real Estate Investment Trust,Sell,$3.44,$3.49,$2.88,121.2%,7.4%,-3.8%,0.0%,3.7%,F,10.9,$0.32,$0.26,81.3%,0,0.0%,,REIT,Yes,Real Estate,,2025-05-20,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBCRF,Timbercreek Financial Corp.,Sell,$5.14,$5.54,$4.00,138.5%,9.0%,-6.3%,0.0%,3.2%,F,11.1,$0.50,$0.50,100.0%,0,0.0%,,Stock,Yes,Financials,,2025-05-14,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZPTAF,Surge Energy Inc.,Hold,$4.53,$5.28,$4.10,128.8%,7.2%,-4.9%,0.0%,3.2%,F,2.6,$2.05,$0.38,18.5%,3,3.0%,,Stock,Yes,Energy,,2025-07-09,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAD,Gladstone Capital Corp.,Hold,$27.00,$27.05,$21.00,128.8%,7.3%,-4.9%,0.5%,3.1%,F,13.5,$2.00,$1.98,99.0%,2,0.5%,2025-08-20,BDC,No,Financials,$605,2025-05-21,Josh Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZRIF,Pizza Pizza Royalty Corp.,Sell,$10.58,$11.45,$9.38,122.1%,5.9%,-3.9%,1.0%,3.0%,F,17.1,$0.67,$0.67,100.0%,0,0.9%,,Stock,Yes,Consumer Discretionary,,2025-05-07,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTRUF,Petrus Resources Ltd.,Sell,$1.00,$1.05,$0.75,140.0%,8.6%,-6.5%,0.0%,2.7%,F,4.2,$0.25,$0.09,36.0%,0,0.0%,,Stock,Yes,Energy,$0,2025-07-09,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWRS,Global Water Resources Inc,Hold,$10.16,$9.85,$7.20,136.8%,3.0%,-6.1%,6.0%,2.6%,F,24.6,$0.40,$0.30,75.0%,10,1.9%,2025-08-15,Stock,No,Utilities,$266,2025-05-23,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPRQF,Choice Properties Real Estate Investment Trust,Sell,$10.80,$10.45,$8.00,130.6%,5.4%,-5.2%,2.3%,2.5%,F,15.6,$0.67,$0.56,83.6%,0,0.7%,,REIT,Yes,Real Estate,,2025-05-18,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
